import time: self [us] | cumulative | imported package
import time:      1021 |      29403 |           anyio.to_thread
import time:      3073 |      32476 |         anyio._core._fileio
import time:       774 |        774 |         anyio._core._resources
import time:       730 |        730 |         anyio._core._signals
import time:      3896 |       3896 |             _ssl
import time:        92 |         92 |                 _struct
import time:       530 |        622 |               struct
import time:        61 |         61 |               binascii
import time:       855 |       1538 |             base64
import time:      3641 |       9074 |           ssl
import time:       580 |        580 |             anyio.streams
import time:      1610 |       2189 |           anyio.streams.stapled
import time:      2696 |       2696 |           anyio.streams.tls
import time:      1943 |      15900 |         anyio._core._sockets
import time:      3161 |       3161 |           anyio.streams.memory
import time:       862 |       4022 |         anyio._core._streams
import time:       923 |        923 |         anyio._core._subprocesses
import time:      1290 |       1290 |         anyio._core._tempfile
import time:      1373 |      64840 |       anyio
import time:       679 |        679 |               email
import time:      1012 |       1691 |             email.errors
import time:      1210 |       1210 |               http
import time:       725 |        725 |                       email.quoprimime
import time:       632 |        632 |                       email.base64mime
import time:       627 |        627 |                           quopri
import time:       699 |       1326 |                         email.encoders
import time:       658 |       1984 |                       email.charset
import time:      1217 |       4556 |                     email.header
import time:        84 |         84 |                         _datetime
import time:       784 |        868 |                       datetime
import time:       698 |        698 |                         urllib
import time:      2072 |       2770 |                       urllib.parse
import time:       919 |        919 |                       email._parseaddr
import time:      1018 |       5574 |                     email.utils
import time:       972 |      11100 |                   email._policybase
import time:      1236 |      12336 |                 email.feedparser
import time:       895 |      13230 |               email.parser
import time:       731 |        731 |                 email._encoded_words
import time:       642 |        642 |                 email.iterators
import time:      1296 |       2668 |               email.message
import time:      1775 |      18882 |             http.client
import time:      1415 |      21987 |           urllib3.exceptions
import time:       688 |        688 |                   urllib3.util.timeout
import time:      1357 |       2044 |                 urllib3.util.connection
import time:       486 |        486 |                   urllib3.util.util
import time:       245 |        245 |                   brotlicffi
import time:       172 |        172 |                   brotli
import time:       941 |       1843 |                 urllib3.util.request
import time:       473 |        473 |                 urllib3.util.response
import time:       811 |        811 |                 urllib3.util.retry
import time:      1569 |       1569 |                     _hashlib
import time:        68 |         68 |                     _blake2
import time:       605 |       2241 |                   hashlib
import time:        81 |         81 |                     _hmac
import time:       586 |        667 |                   hmac
import time:      5374 |       5374 |                   urllib3.util.url
import time:       832 |        832 |                   urllib3.util.ssltransport
import time:       702 |       9813 |                 urllib3.util.ssl_
import time:       528 |        528 |                   select
import time:       568 |       1096 |                 urllib3.util.wait
import time:       641 |      16718 |               urllib3.util
import time:        47 |      16765 |             urllib3.util.connection
import time:      1447 |      18211 |           urllib3._base_connection
import time:      1706 |       1706 |           urllib3._collections
import time:       955 |        955 |           urllib3._version
import time:       720 |        720 |               _queue
import time:       747 |       1467 |             queue
import time:       735 |        735 |                   mimetypes
import time:       617 |       1351 |                 urllib3.fields
import time:       498 |       1849 |               urllib3.filepost
import time:       243 |        243 |                 brotlicffi
import time:       183 |        183 |                 brotli
import time:       464 |        464 |                           importlib._abc
import time:       200 |        664 |                         importlib.util
import time:       552 |        552 |                           zipfile._path.glob
import time:      1032 |       1584 |                         zipfile._path
import time:      1258 |       3505 |                       zipfile
import time:       876 |        876 |                       importlib.metadata._meta
import time:       865 |        865 |                       importlib.metadata._collections
import time:       532 |        532 |                       importlib.metadata._functools
import time:       613 |        613 |                       importlib.metadata._itertools
import time:       981 |        981 |                       importlib.abc
import time:      1607 |       8975 |                     importlib.metadata
import time:       611 |       9586 |                   urllib3.http2
import time:       880 |        880 |                   urllib3.http2.probe
import time:       521 |        521 |                   urllib3.util.ssl_match_hostname
import time:      1193 |      12178 |                 urllib3.connection
import time:      1058 |      13661 |               urllib3.response
import time:       695 |      16204 |             urllib3._request_methods
import time:       644 |        644 |             urllib3.util.proxy
import time:      1398 |      19712 |           urllib3.connectionpool
import time:      1448 |       1448 |           urllib3.poolmanager
import time:      1174 |      65189 |         urllib3
import time:       647 |        647 |                 81d243bd2c585b0f4821__mypyc
import time:      1628 |       1628 |                 charset_normalizer.constant
import time:       684 |        684 |                     unicodedata
import time:      1553 |       2236 |                   charset_normalizer.utils
import time:       756 |       2992 |                 charset_normalizer.md
import time:      1030 |       1030 |                 charset_normalizer.models
import time:       815 |       7110 |               charset_normalizer.cd
import time:        67 |         67 |               _codecs_tw
import time:        56 |         56 |               _codecs_hk
import time:        56 |         56 |               _codecs_jp
import time:        52 |         52 |               _codecs_kr
import time:        56 |         56 |               _codecs_iso2022
import time:     50787 |      58181 |             charset_normalizer.api
import time:       472 |        472 |             charset_normalizer.legacy
import time:       439 |        439 |             charset_normalizer.version
import time:       332 |        332 |             simplejson
import time:       711 |        711 |                   urllib.response
