import time: self [us] | cumulative | imported package
import time:      1242 |       1242 |                       starlette.authentication
import time:      1236 |       2477 |                     starlette.middleware.authentication
import time:      1682 |       1682 |                         mcp.server.auth
import time:      1187 |       2868 |                       mcp.server.auth.middleware
import time:     10649 |      10649 |                           mcp.shared.auth
import time:      8904 |      19552 |                         mcp.server.auth.provider
import time:      1402 |      20953 |                       mcp.server.auth.middleware.bearer_auth
import time:      1420 |      25240 |                     mcp.server.auth.middleware.auth_context
import time:      2809 |       2809 |                     mcp.server.auth.settings
import time:       640 |        640 |                           mcp.server.experimental
import time:       548 |        548 |                           mcp.server.validation
import time:       575 |        575 |                           mcp.shared.experimental.tasks.capabilities
import time:       730 |       2491 |                         mcp.server.experimental.session_features
import time:      1566 |       1566 |                         mcp.server.models
import time:      1170 |       5226 |                       mcp.server.session
import time:      2638 |       7863 |                     mcp.server.elicitation
import time:       895 |        895 |                     mcp.server.fastmcp.exceptions
import time:       507 |        507 |                         pydantic._internal._validate_call
import time:       478 |        478 |                           mcp.server.fastmcp.utilities
import time:       536 |       1013 |                         mcp.server.fastmcp.utilities.context_injection
import time:       522 |        522 |                           mcp.server.fastmcp.utilities.logging
import time:       499 |        499 |                           mcp.server.fastmcp.utilities.types
import time:      2301 |       3321 |                         mcp.server.fastmcp.utilities.func_metadata
import time:      7245 |      12085 |                       mcp.server.fastmcp.prompts.base
import time:       981 |        981 |                       mcp.server.fastmcp.prompts.manager
import time:       701 |      13766 |                     mcp.server.fastmcp.prompts
import time:      2711 |       2711 |                       mcp.server.fastmcp.resources.base
import time:     12055 |      12055 |                           mcp.server.fastmcp.resources.types
import time:      3000 |      15055 |                         mcp.server.fastmcp.resources.templates
import time:       865 |      15919 |                       mcp.server.fastmcp.resources.resource_manager
import time:       637 |      19266 |                     mcp.server.fastmcp.resources
import time:      1109 |       1109 |                         mcp.shared.tool_name_validation
import time:      2957 |       4066 |                       mcp.server.fastmcp.tools.base
import time:       850 |        850 |                       mcp.server.fastmcp.tools.tool_manager
import time:      1125 |       6039 |                     mcp.server.fastmcp.tools
import time:       783 |        783 |                                 pprint
import time:       740 |        740 |                                   attrs.converters
import time:       759 |        759 |                                   attrs.exceptions
import time:       616 |        616 |                                   attrs.filters
import time:       733 |        733 |                                   attrs.setters
import time:       731 |        731 |                                   attrs.validators
import time:      1181 |       4758 |                                 attrs
import time:      1120 |       1120 |                                         rpds.rpds
import time:       660 |       1779 |                                       rpds
import time:       545 |        545 |                                         referencing._attrs
import time:      3546 |       4091 |                                       referencing.exceptions
import time:       728 |        728 |                                       referencing.typing
import time:      5123 |      11719 |                                     referencing._core
import time:       942 |      12661 |                                   referencing
import time:        21 |      12681 |                                 referencing.exceptions
import time:       921 |        921 |                                 jsonschema._utils
import time:      1462 |      20604 |                               jsonschema.exceptions
import time:       306 |        306 |                               fqdn
import time:       188 |        188 |                               rfc3987
import time:       168 |        168 |                               rfc3986_validator
import time:       174 |        174 |                               rfc3987_syntax
import time:       158 |        158 |                               rfc3339_validator
import time:       167 |        167 |                               webcolors
import time:       172 |        172 |                               jsonpointer
import time:       168 |        168 |                               uri_template
import time:       162 |        162 |                               isoduration
import time:      1507 |      23770 |                             jsonschema._format
import time:      1191 |       1191 |                             jsonschema._types
import time:      1827 |       1827 |                                 referencing.jsonschema
import time:       655 |        655 |                                 jsonschema_specifications._core
import time:      5802 |       8283 |                               jsonschema_specifications
import time:       722 |        722 |                               jsonschema._keywords
import time:       656 |        656 |                               jsonschema._legacy_keywords
import time:       693 |        693 |                                 jsonschema.protocols
import time:       551 |       1243 |                               jsonschema._typing
import time:      5971 |      16873 |                             jsonschema.validators
import time:       734 |      42567 |                           jsonschema
import time:       647 |        647 |                                   mcp.shared.experimental.tasks.resolver
import time:      1217 |       1863 |                                 mcp.shared.experimental.tasks.message_queue
import time:       647 |       2510 |                               mcp.server.experimental.task_result_handler
import time:       726 |       3235 |                             mcp.server.experimental.task_context
import time:       966 |        966 |                               mcp.shared.experimental.tasks.in_memory_task_store
import time:       904 |       1869 |                             mcp.server.experimental.task_support
import time:      1105 |       6208 |                           mcp.server.experimental.request_context
import time:       526 |        526 |                             mcp.server.lowlevel.func_inspection
import time:       662 |       1188 |                           mcp.server.lowlevel.experimental
import time:       961 |        961 |                           mcp.server.lowlevel.helper_types
import time:      1496 |      52417 |                         mcp.server.lowlevel.server
import time:       684 |      53100 |                       mcp.server.lowlevel
import time:        39 |      53139 |                     mcp.server.lowlevel.helper_types
import time:       567 |        567 |                         sse_starlette.event
import time:      1100 |       1100 |                                   logging.handlers
import time:      1073 |       1073 |                                   socketserver
import time:      1809 |       3981 |                                 logging.config
import time:       766 |        766 |                                 uvicorn._compat
import time:      3331 |       3331 |                                 uvicorn._types
import time:       701 |        701 |                                 uvicorn.importer
import time:       604 |        604 |                                 uvicorn.logging
import time:       464 |        464 |                                   uvicorn.middleware
import time:       569 |       1032 |                                 uvicorn.middleware.asgi2
import time:       496 |        496 |                                 uvicorn.middleware.message_logger
import time:       526 |        526 |                                 uvicorn.middleware.proxy_headers
import time:       325 |        325 |                                   a2wsgi
import time:       622 |        946 |                                 uvicorn.middleware.wsgi
import time:       950 |      13329 |                               uvicorn.config
import time:       689 |        689 |                                 uvicorn.server
import time:       678 |        678 |                                           multiprocessing.process
import time:      1053 |       1053 |                                           multiprocessing.reduction
import time:      1026 |       2756 |                                         multiprocessing.context
import time:       706 |       3462 |                                       multiprocessing
import time:       848 |        848 |                                         multiprocessing.util
import time:       613 |        613 |                                         _multiprocessing
import time:      1555 |       3015 |                                       multiprocessing.connection
import time:       468 |       6945 |                                     uvicorn._subprocess
import time:       688 |       7633 |                                   uvicorn.supervisors.basereload
import time:       746 |        746 |                                   uvicorn.supervisors.multiprocess
import time:       253 |        253 |                                     watchfiles
import time:       624 |        877 |                                   uvicorn.supervisors.watchfilesreload
import time:       655 |        655 |                                   uvicorn.supervisors.statreload
import time:       660 |      10570 |                                 uvicorn.supervisors
import time:      1263 |      12521 |                               uvicorn.main
import time:       591 |      26440 |                             uvicorn
import time:        23 |      26463 |                           uvicorn.main
import time:      1106 |      27568 |                         sse_starlette.sse
import time:       579 |      28712 |                       sse_starlette
import time:      1287 |       1287 |                       mcp.server.transport_security
import time:       741 |      30739 |                     mcp.server.sse
import time:       521 |        521 |                     mcp.server.stdio
import time:      1329 |       1329 |                     mcp.server.streamable_http
import time:       648 |        648 |                     mcp.server.streamable_http_manager
import time:      2738 |     258924 |                   mcp.server.fastmcp.server
import time:       637 |        637 |                     importlib.metadata._text
import time:       749 |       1386 |                   importlib.metadata._adapters
import time:      3209 |     263517 |                 mcp.server.fastmcp
import time:       895 |     264412 |               mcp.server
import time:        48 |     264459 |             mcp.server.session
import time:       880 |     708398 |           mcp
import time:        29 |     708427 |         mcp.types
import time:      1206 |       1206 |         claude_agent_sdk._errors
import time:       704 |        704 |           claude_agent_sdk._internal
import time:     18084 |      18084 |             claude_agent_sdk.types
import time:      1264 |      19347 |           claude_agent_sdk._internal.sessions
import time:      1691 |      21741 |         claude_agent_sdk._internal.session_mutations
import time:      1028 |       1028 |         claude_agent_sdk._internal.transport
import time:       516 |        516 |         claude_agent_sdk._version
import time:       787 |        787 |         claude_agent_sdk.client
import time:       492 |        492 |             claude_agent_sdk._internal.message_parser
import time:       675 |        675 |             claude_agent_sdk._internal.query
import time:       805 |        805 |             claude_agent_sdk._internal.transport.subprocess_cli
import time:       606 |       2577 |           claude_agent_sdk._internal.client
import time:       537 |       3114 |         claude_agent_sdk.query
import time:      1516 |     738330 |       claude_agent_sdk
import time:      1404 |       1404 |       pi_sonar_agent.agent.rule_policies
import time:       419 |        419 |       pi_sonar_agent.agent.rule_validators
import time:       495 |        495 |           pi_sonar_agent.sonar_mcp.tools
import time:       314 |        809 |         pi_sonar_agent.sonar_mcp
import time:        24 |        832 |       pi_sonar_agent.sonar_mcp.tools
import time:      5883 |     982613 |     pi_sonar_agent.agent.claude_agent
import time:       630 |     983243 |   pi_sonar_agent.agent
import time:        64 |     983306 | pi_sonar_agent.agent.claude_agent
import time:       568 |        568 |     mysql
import time:       380 |        380 |       mysql.connector.version
import time:       856 |        856 |           mysql.connector.charsets
import time:      1198 |       1198 |               mysql.connector.errorcode
import time:       442 |       1640 |             mysql.connector.locales
import time:      1046 |       1046 |             mysql.connector.types
import time:       703 |        703 |               mysql.connector.custom_types
import time:       643 |        643 |               mysql.connector.tls_ciphers
import time:      1079 |       2425 |             mysql.connector.utils
import time:       812 |       5921 |           mysql.connector.errors
import time:      1210 |       7986 |         mysql.connector.constants
import time:       401 |       8387 |       mysql.connector._decorating
import time:       990 |        990 |         mysql.connector.conversion
import time:       731 |        731 |           mysql.connector.opentelemetry
import time:       271 |        271 |           opentelemetry
import time:       875 |       1876 |         mysql.connector.opentelemetry.constants
import time:       714 |        714 |         mysql.connector.optionfiles
import time:      2151 |       5729 |       mysql.connector.abstracts
import time:       586 |        586 |         mysql.connector.logger
import time:       694 |        694 |         mysql.connector.plugins
import time:       834 |        834 |         mysql.connector.plugins.caching_sha2_password
import time:      1265 |       3378 |       mysql.connector.protocol
import time:      3132 |       3132 |       _mysql_connector
import time:      1406 |       1406 |         mysql.connector._scripting
import time:      2298 |       2298 |         mysql.connector.cursor
import time:      1946 |       5649 |       mysql.connector.cursor_cext
import time:       707 |        707 |       mysql.connector.opentelemetry.context_propagation
import time:      1129 |      28488 |     mysql.connector.connection_cext
import time:       617 |        617 |       mysql.connector.authentication
import time:       884 |        884 |       mysql.connector.network
import time:      1376 |       2876 |     mysql.connector.connection
import time:       709 |        709 |     mysql.connector.dbapi
import time:       230 |        230 |         dns
import time:        35 |        265 |       dns.exception
import time:       748 |       1013 |     mysql.connector.pooling
import time:       612 |      34263 |   mysql.connector
import time:      1465 |      35728 | pi_sonar_agent.core.db_client
import time:      1174 |       1174 | pi_sonar_agent.core.dingtalk
import time:      3202 |       3202 |       pi_sonar_agent.fixers.rule_profiles
import time:       332 |       3533 |     pi_sonar_agent.fixers
import time:      3590 |       7123 |   pi_sonar_agent.fixers.build_gate
import time:      1976 |       9098 | pi_sonar_agent.core.issue_retry
import time:      1617 |       1617 | pi_sonar_agent.core.pr_description
import time:      1220 |       1220 | pi_sonar_agent.core.recipient_resolution
import time:      1217 |       1217 |     pi_sonar_agent.integrations.sonar
import time:      1371 |       1371 |     pi_sonar_agent.integrations.ado
import time:       728 |       3314 |   pi_sonar_agent.integrations
import time:        36 |       3350 | pi_sonar_agent.integrations.ado
Traceback (most recent call last):
  File "D:\MyProjects\pi-sonar-agent\run.py", line 49, in <module>
    main()
    ~~~~^^
  File "D:\MyProjects\pi-sonar-agent\run.py", line 38, in main
    app_main()
    ~~~~~~~~^^
  File "D:\MyProjects\pi-sonar-agent\src\main.py", line 208, in main
    
    
    ...<3 lines>...
        f"(source: {recipients.reviewer_source})"
        ^^^^^
  File "D:\MyProjects\pi-sonar-agent\src\core\run_logging.py", line 26, in write
    stream.flush()
    ~~~~~~~~~~~~^^
OSError: [Errno 22] Invalid argument
Exception ignored while flushing sys.stdout:
OSError: [Errno 22] Invalid argument
Exception ignored while finalizing file <pi_sonar_agent.core.run_logging.TeeStream object at 0x000001FD02031FF0>:
Traceback (most recent call last):
  File "D:\MyProjects\pi-sonar-agent\src\core\run_logging.py", line 31, in flush
    stream.flush()
OSError: [Errno 22] Invalid argument
